iteration,para_a,para_b,f_beta,TP,FP,FN,TN,precision,recall
1,0.0,2,0.8222440914861662,97,203,0,0,0.3233333333333333,0.9923856258392334
2,0.0,3,0.8212203156768072,97,203,0,0,0.3233333333333333,0.9907293319702148
3,0.0,4,0.8164626055926937,97,203,0,0,0.3233333333333333,0.9830505847930908
4,0.0,5,0.8096248916611553,97,203,0,0,0.3233333333333333,0.9720675945281982
5,0.0,6,0.8027483031363731,97,203,0,0,0.3233333333333333,0.9610844850540161
6,0.0,7,0.7958327333805083,97,203,0,0,0.3233333333333333,0.9501016139984131
7,0.0,8,0.7888776228793971,97,203,0,0,0.3233333333333333,0.9391186237335205
8,0.0,9,0.7818825554023198,97,203,0,0,0.3233333333333333,0.9281353950500488
9,0.0,10,0.7748475685225513,97,203,0,0,0.3233333333333333,0.9171525239944458
10,0.00010094674556213017,2,0.8222398195774423,97,203,0,0,0.3233333333333333,0.9923787117004395
11,0.00010094674556213017,3,0.8212128703348299,97,203,0,0,0.3233333333333333,0.9907172918319702
12,0.00010094674556213017,4,0.8161725368995769,97,203,0,0,0.3233333333333333,0.9825834035873413
13,0.00010094674556213017,5,0.8093331048013787,97,203,0,0,0.3233333333333333,0.9716002941131592
14,0.00010094674556213017,6,0.8024549329693057,97,203,0,0,0.3233333333333333,0.9606173038482666
15,0.00010094674556213017,7,0.7955376160327308,97,203,0,0,0.3233333333333333,0.949634313583374
16,0.00010094674556213017,8,0.7885808188636323,97,203,0,0,0.3233333333333333,0.9386513233184814
17,0.00010094674556213017,9,0.7815842786561399,97,203,0,0,0.3233333333333333,0.9276684522628784
18,0.00010094674556213017,10,0.7745474240787217,97,203,0,0,0.3233333333333333,0.9166853427886963
19,0.00020189349112426035,2,0.8222354739995881,97,203,0,0,0.3233333333333333,0.992371678352356
20,0.00020189349112426035,3,0.8212054249468903,97,203,0,0,0.3233333333333333,0.9907052516937256
21,0.00020189349112426035,4,0.8158823985710053,97,203,0,0,0.3233333333333333,0.9821162223815918
22,0.00020189349112426035,5,0.8090413966021371,97,203,0,0,0.3233333333333333,0.9711332321166992
23,0.00020189349112426035,6,0.8021614919744801,97,203,0,0,0.3233333333333333,0.9601501226425171
24,0.00020189349112426035,7,0.7952425778391371,97,203,0,0,0.3233333333333333,0.9491672515869141
25,0.00020189349112426035,8,0.7882840185065574,97,203,0,0,0.3233333333333333,0.9381841421127319
26,0.00020189349112426035,9,0.7812857769621582,97,203,0,0,0.3233333333333333,0.9272012710571289
27,0.00020189349112426035,10,0.7742472063396239,97,203,0,0,0.3233333333333333,0.9162181615829468
28,0.0003028402366863905,2,0.8222311284060696,97,203,0,0,0.3233333333333333,0.9923646450042725
29,0.0003028402366863905,3,0.8211978320781889,97,203,0,0,0.3233333333333333,0.9906929731369019
30,0.0003028402366863905,4,0.8155921165214672,97,203,0,0,0.3233333333333333,0.9816489219665527
31,0.0003028402366863905,5,0.8087494692246847,97,203,0,0,0.3233333333333333,0.9706659317016602
32,0.0003028402366863905,6,0.8018679801262436,97,203,0,0,0.3233333333333333,0.9596829414367676
33,0.0003028402366863905,7,0.7949473928913301,97,203,0,0,0.3233333333333333,0.9487000703811646
34,0.0003028402366863905,8,0.7879871460758086,97,203,0,0,0.3233333333333333,0.9377169609069824
35,0.0003028402366863905,9,0.7809872025738599,97,203,0,0,0.3233333333333333,0.9267340898513794
36,0.0003028402366863905,10,0.7739468386446374,97,203,0,0,0.3233333333333333,0.9157508611679077
37,0.0004037869822485207,2,0.8222268564514101,97,203,0,0,0.3233333333333333,0.9923577308654785
38,0.0004037869822485207,3,0.8211903128795518,97,203,0,0,0.3233333333333333,0.9906808137893677
39,0.0004037869822485207,4,0.8153019129071708,97,203,0,0,0.3233333333333333,0.9811818599700928
40,0.0004037869822485207,5,0.8084574715323865,97,203,0,0,0.3233333333333333,0.9701986312866211
41,0.0004037869822485207,6,0.801574397398931,97,203,0,0,0.3233333333333333,0.9592157602310181
42,0.0004037869822485207,7,0.7946520611086383,97,203,0,0,0.3233333333333333,0.9482327699661255
43,0.0004037869822485207,8,0.7876901257654413,97,203,0,0,0.3233333333333333,0.9372496604919434
44,0.0004037869822485207,9,0.7806883268220436,97,203,0,0,0.3233333333333333,0.9262665510177612
45,0.0004037869822485207,10,0.7736463975632231,97,203,0,0,0.3233333333333333,0.9152835607528687
46,0.0005047337278106509,2,0.8222225844816127,97,203,0,0,0.3233333333333333,0.9923508167266846
47,0.0005047337278106509,3,0.8211829410706732,97,203,0,0,0.3233333333333333,0.9906688928604126
48,0.0005047337278106509,4,0.8150114914257062,97,203,0,0,0.3233333333333333,0.9807145595550537
49,0.0005047337278106509,5,0.8081655525320758,97,203,0,0,0.3233333333333333,0.9697315692901611
50,0.0005047337278106509,6,0.8012806688270581,97,203,0,0,0.3233333333333333,0.958748459815979
51,0.0005047337278106509,7,0.7943568838787892,97,203,0,0,0.3233333333333333,0.9477658271789551
52,0.0005047337278106509,8,0.787393033292055,97,203,0,0,0.3233333333333333,0.9367823600769043
53,0.0005047337278106509,9,0.7803896069097261,97,203,0,0,0.3233333333333333,0.9257993698120117
54,0.0005047337278106509,10,0.7733460364109269,97,203,0,0,0.3233333333333333,0.9148164987564087
55,0.000605680473372781,2,0.8222182388416317,97,203,0,0,0.3233333333333333,0.9923437833786011
56,0.000605680473372781,3,0.8211754217791981,97,203,0,0,0.3233333333333333,0.9906567335128784
57,0.000605680473372781,4,0.8147210742866109,97,203,0,0,0.3233333333333333,0.9802473783493042
58,0.000605680473372781,5,0.8078735632378883,97,203,0,0,0.3233333333333333,0.9692645072937012
59,0.000605680473372781,6,0.8009870192043548,97,203,0,0,0.3233333333333333,0.958281397819519
60,0.000605680473372781,7,0.7940613336425105,97,203,0,0,0.3233333333333333,0.9472984075546265
61,0.000605680473372781,8,0.7870960202623823,97,203,0,0,0.3233333333333333,0.9363152980804443
